city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,7
sj,2008,20,10
sj,2008,21,11
sj,2008,22,13
sj,2008,23,15
sj,2008,24,18
sj,2008,25,20
sj,2008,26,22
sj,2008,27,24
sj,2008,28,27
sj,2008,29,29
sj,2008,30,34
sj,2008,31,38
sj,2008,32,47
sj,2008,33,54
sj,2008,34,59
sj,2008,35,62
sj,2008,36,65
sj,2008,37,72
sj,2008,38,82
sj,2008,39,92
sj,2008,40,95
sj,2008,41,88
sj,2008,42,77
sj,2008,43,60
sj,2008,44,45
sj,2008,45,36
sj,2008,46,28
sj,2008,47,25
sj,2008,48,20
sj,2008,49,17
sj,2008,50,16
sj,2008,51,14
sj,2008,52,14
sj,2009,1,12
sj,2009,2,13
sj,2009,3,13
sj,2009,4,12
sj,2009,5,11
sj,2009,6,8
sj,2009,7,8
sj,2009,8,7
sj,2009,9,7
sj,2009,10,6
sj,2009,11,4
sj,2009,12,4
sj,2009,13,4
sj,2009,14,3
sj,2009,15,3
sj,2009,16,4
sj,2009,17,4
sj,2009,18,5
sj,2009,19,6
sj,2009,20,9
sj,2009,21,11
sj,2009,22,13
sj,2009,23,15
sj,2009,24,18
sj,2009,25,20
sj,2009,26,21
sj,2009,27,24
sj,2009,28,26
sj,2009,29,28
sj,2009,30,34
sj,2009,31,39
sj,2009,32,45
sj,2009,33,53
sj,2009,34,58
sj,2009,35,63
sj,2009,36,68
sj,2009,37,73
sj,2009,38,83
sj,2009,39,91
sj,2009,40,90
sj,2009,41,85
sj,2009,42,76
sj,2009,43,59
sj,2009,44,46
sj,2009,45,43
sj,2009,46,28
sj,2009,47,24
sj,2009,48,23
sj,2009,49,17
sj,2009,50,15
sj,2009,51,14
sj,2009,52,13
sj,2010,53,13
sj,2010,1,13
sj,2010,2,13
sj,2010,3,12
sj,2010,4,12
sj,2010,5,9
sj,2010,6,8
sj,2010,7,9
sj,2010,8,10
sj,2010,9,10
sj,2010,10,8
sj,2010,11,8
sj,2010,12,8
sj,2010,13,6
sj,2010,14,4
sj,2010,15,4
sj,2010,16,4
sj,2010,17,6
sj,2010,18,7
sj,2010,19,7
sj,2010,20,10
sj,2010,21,11
sj,2010,22,13
sj,2010,23,17
sj,2010,24,17
sj,2010,25,19
sj,2010,26,21
sj,2010,27,23
sj,2010,28,25
sj,2010,29,28
sj,2010,30,34
sj,2010,31,39
sj,2010,32,45
sj,2010,33,52
sj,2010,34,57
sj,2010,35,62
sj,2010,36,66
sj,2010,37,72
sj,2010,38,82
sj,2010,39,90
sj,2010,40,88
sj,2010,41,83
sj,2010,42,75
sj,2010,43,60
sj,2010,44,47
sj,2010,45,45
sj,2010,46,29
sj,2010,47,24
sj,2010,48,21
sj,2010,49,17
sj,2010,50,16
sj,2010,51,15
sj,2011,52,15
sj,2011,1,12
sj,2011,2,12
sj,2011,3,12
sj,2011,4,12
sj,2011,5,9
sj,2011,6,8
sj,2011,7,8
sj,2011,8,8
sj,2011,9,5
sj,2011,10,5
sj,2011,11,5
sj,2011,12,4
sj,2011,13,5
sj,2011,14,4
sj,2011,15,4
sj,2011,16,4
sj,2011,17,4
sj,2011,18,5
sj,2011,19,6
sj,2011,20,10
sj,2011,21,14
sj,2011,22,16
sj,2011,23,18
sj,2011,24,20
sj,2011,25,22
sj,2011,26,22
sj,2011,27,27
sj,2011,28,31
sj,2011,29,37
sj,2011,30,41
sj,2011,31,49
sj,2011,32,53
sj,2011,33,61
sj,2011,34,56
sj,2011,35,77
sj,2011,36,82
sj,2011,37,93
sj,2011,38,103
sj,2011,39,104
sj,2011,40,98
sj,2011,41,96
sj,2011,42,88
sj,2011,43,76
sj,2011,44,60
sj,2011,45,45
sj,2011,46,35
sj,2011,47,27
sj,2011,48,23
sj,2011,49,20
sj,2011,50,18
sj,2011,51,16
sj,2012,52,15
sj,2012,1,12
sj,2012,2,12
sj,2012,3,12
sj,2012,4,10
sj,2012,5,9
sj,2012,6,8
sj,2012,7,6
sj,2012,8,5
sj,2012,9,6
sj,2012,10,6
sj,2012,11,4
sj,2012,12,4
sj,2012,13,5
sj,2012,14,3
sj,2012,15,4
sj,2012,16,4
sj,2012,17,4
sj,2012,18,5
sj,2012,19,6
sj,2012,20,10
sj,2012,21,13
sj,2012,22,16
sj,2012,23,18
sj,2012,24,21
sj,2012,25,24
sj,2012,26,26
sj,2012,27,29
sj,2012,28,31
sj,2012,29,37
sj,2012,30,43
sj,2012,31,49
sj,2012,32,55
sj,2012,33,61
sj,2012,34,69
sj,2012,35,78
sj,2012,36,82
sj,2012,37,93
sj,2012,38,103
sj,2012,39,103
sj,2012,40,103
sj,2012,41,95
sj,2012,42,88
sj,2012,43,77
sj,2012,44,60
sj,2012,45,46
sj,2012,46,35
sj,2012,47,27
sj,2012,48,23
sj,2012,49,20
sj,2012,50,18
sj,2012,51,15
sj,2013,1,12
sj,2013,2,12
sj,2013,3,12
sj,2013,4,10
sj,2013,5,9
sj,2013,6,8
sj,2013,7,6
sj,2013,8,5
sj,2013,9,5
sj,2013,10,5
sj,2013,11,4
sj,2013,12,4
sj,2013,13,5
sj,2013,14,3
sj,2013,15,4
sj,2013,16,4
sj,2013,17,4
iq,2010,26,2
iq,2010,27,1
iq,2010,28,1
iq,2010,29,2
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,4
iq,2010,34,5
iq,2010,35,6
iq,2010,36,6
iq,2010,37,7
iq,2010,38,7
iq,2010,39,10
iq,2010,40,9
iq,2010,41,17
iq,2010,42,17
iq,2010,43,19
iq,2010,44,12
iq,2010,45,16
iq,2010,46,15
iq,2010,47,8
iq,2010,48,7
iq,2010,49,7
iq,2010,50,5
iq,2010,51,3
iq,2011,52,3
iq,2011,1,15
iq,2011,2,19
iq,2011,3,20
iq,2011,4,21
iq,2011,5,25
iq,2011,6,24
iq,2011,7,17
iq,2011,8,18
iq,2011,9,14
iq,2011,10,11
iq,2011,11,10
iq,2011,12,9
iq,2011,13,8
iq,2011,14,7
iq,2011,15,5
iq,2011,16,5
iq,2011,17,4
iq,2011,18,4
iq,2011,19,3
iq,2011,20,4
iq,2011,21,3
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,2
iq,2011,26,2
iq,2011,27,1
iq,2011,28,1
iq,2011,29,1
iq,2011,30,2
iq,2011,31,2
iq,2011,32,3
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,5
iq,2011,37,8
iq,2011,38,12
iq,2011,39,12
iq,2011,40,11
iq,2011,41,19
iq,2011,42,9
iq,2011,43,21
iq,2011,44,21
iq,2011,45,16
iq,2011,46,13
iq,2011,47,7
iq,2011,48,7
iq,2011,49,5
iq,2011,50,4
iq,2011,51,3
iq,2012,52,3
iq,2012,1,18
iq,2012,2,18
iq,2012,3,17
iq,2012,4,20
iq,2012,5,21
iq,2012,6,18
iq,2012,7,19
iq,2012,8,15
iq,2012,9,14
iq,2012,10,11
iq,2012,11,10
iq,2012,12,9
iq,2012,13,8
iq,2012,14,6
iq,2012,15,5
iq,2012,16,5
iq,2012,17,4
iq,2012,18,4
iq,2012,19,3
iq,2012,20,4
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,2
iq,2012,26,2
iq,2012,27,2
iq,2012,28,1
iq,2012,29,1
iq,2012,30,3
iq,2012,31,2
iq,2012,32,3
iq,2012,33,3
iq,2012,34,4
iq,2012,35,4
iq,2012,36,5
iq,2012,37,6
iq,2012,38,7
iq,2012,39,8
iq,2012,40,17
iq,2012,41,10
iq,2012,42,14
iq,2012,43,16
iq,2012,44,14
iq,2012,45,12
iq,2012,46,9
iq,2012,47,7
iq,2012,48,7
iq,2012,49,5
iq,2012,50,4
iq,2012,51,3
iq,2013,1,18
iq,2013,2,18
iq,2013,3,17
iq,2013,4,19
iq,2013,5,20
iq,2013,6,19
iq,2013,7,16
iq,2013,8,15
iq,2013,9,15
iq,2013,10,11
iq,2013,11,10
iq,2013,12,9
iq,2013,13,9
iq,2013,14,7
iq,2013,15,6
iq,2013,16,5
iq,2013,17,4
iq,2013,18,3
iq,2013,19,4
iq,2013,20,3
iq,2013,21,3
iq,2013,22,3
iq,2013,23,3
iq,2013,24,3
iq,2013,25,2
iq,2013,26,1
