city,year,weekofyear,total_cases
iq,2010,26,2
iq,2010,27,2
iq,2010,28,2
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,4
iq,2010,33,4
iq,2010,34,5
iq,2010,35,5
iq,2010,36,7
iq,2010,37,8
iq,2010,38,9
iq,2010,39,11
iq,2010,40,12
iq,2010,41,14
iq,2010,42,14
iq,2010,43,14
iq,2010,44,13
iq,2010,45,14
iq,2010,46,13
iq,2010,47,10
iq,2010,48,10
iq,2010,49,9
iq,2010,50,8
iq,2010,51,7
iq,2011,52,7
iq,2011,1,19
iq,2011,2,19
iq,2011,3,21
iq,2011,4,21
iq,2011,5,20
iq,2011,6,20
iq,2011,7,19
iq,2011,8,18
iq,2011,9,15
iq,2011,10,12
iq,2011,11,11
iq,2011,12,9
iq,2011,13,8
iq,2011,14,7
iq,2011,15,6
iq,2011,16,5
iq,2011,17,5
iq,2011,18,4
iq,2011,19,4
iq,2011,20,3
iq,2011,21,3
iq,2011,22,3
iq,2011,23,3
iq,2011,24,2
iq,2011,25,2
iq,2011,26,2
iq,2011,27,2
iq,2011,28,2
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,4
iq,2011,34,5
iq,2011,35,6
iq,2011,36,7
iq,2011,37,8
iq,2011,38,10
iq,2011,39,12
iq,2011,40,14
iq,2011,41,15
iq,2011,42,14
iq,2011,43,16
iq,2011,44,16
iq,2011,45,14
iq,2011,46,13
iq,2011,47,12
iq,2011,48,10
iq,2011,49,9
iq,2011,50,9
iq,2011,51,7
iq,2012,52,7
iq,2012,1,20
iq,2012,2,20
iq,2012,3,20
iq,2012,4,20
iq,2012,5,20
iq,2012,6,19
iq,2012,7,19
iq,2012,8,18
iq,2012,9,15
iq,2012,10,13
iq,2012,11,12
iq,2012,12,9
iq,2012,13,8
iq,2012,14,7
iq,2012,15,6
iq,2012,16,5
iq,2012,17,5
iq,2012,18,4
iq,2012,19,4
iq,2012,20,4
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,2
iq,2012,26,2
iq,2012,27,2
iq,2012,28,2
iq,2012,29,3
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,4
iq,2012,34,5
iq,2012,35,6
iq,2012,36,7
iq,2012,37,8
iq,2012,38,10
iq,2012,39,12
iq,2012,40,13
iq,2012,41,14
iq,2012,42,15
iq,2012,43,15
iq,2012,44,15
iq,2012,45,13
iq,2012,46,13
iq,2012,47,11
iq,2012,48,10
iq,2012,49,9
iq,2012,50,8
iq,2012,51,7
iq,2013,1,19
iq,2013,2,20
iq,2013,3,20
iq,2013,4,19
iq,2013,5,19
iq,2013,6,19
iq,2013,7,19
iq,2013,8,18
iq,2013,9,15
iq,2013,10,13
iq,2013,11,12
iq,2013,12,10
iq,2013,13,8
iq,2013,14,7
iq,2013,15,6
iq,2013,16,6
iq,2013,17,5
iq,2013,18,4
iq,2013,19,4
iq,2013,20,3
iq,2013,21,4
iq,2013,22,3
iq,2013,23,3
iq,2013,24,2
iq,2013,25,2
iq,2013,26,2
