city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,14
sj,2008,20,16
sj,2008,21,3
sj,2008,22,12
sj,2008,23,13
sj,2008,24,16
sj,2008,25,22
sj,2008,26,16
sj,2008,27,10
sj,2008,28,10
sj,2008,29,28
sj,2008,30,146
sj,2008,31,15
sj,2008,32,135
sj,2008,33,60
sj,2008,34,28
sj,2008,35,74
sj,2008,36,66
sj,2008,37,41
sj,2008,38,38
sj,2008,39,72
sj,2008,40,39
sj,2008,41,49
sj,2008,42,42
sj,2008,43,73
sj,2008,44,113
sj,2008,45,42
sj,2008,46,72
sj,2008,47,33
sj,2008,48,190
sj,2008,49,21
sj,2008,50,16
sj,2008,51,25
sj,2008,52,32
sj,2009,1,76
sj,2009,2,28
sj,2009,3,22
sj,2009,4,24
sj,2009,5,29
sj,2009,6,15
sj,2009,7,9
sj,2009,8,13
sj,2009,9,9
sj,2009,10,4
sj,2009,11,5
sj,2009,12,3
sj,2009,13,8
sj,2009,14,10
sj,2009,15,1
sj,2009,16,6
sj,2009,17,22
sj,2009,18,4
sj,2009,19,4
sj,2009,20,18
sj,2009,21,3
sj,2009,22,17
sj,2009,23,21
sj,2009,24,16
sj,2009,25,21
sj,2009,26,23
sj,2009,27,22
sj,2009,28,11
sj,2009,29,17
sj,2009,30,40
sj,2009,31,22
sj,2009,32,20
sj,2009,33,21
sj,2009,34,21
sj,2009,35,32
sj,2009,36,48
sj,2009,37,18
sj,2009,38,57
sj,2009,39,52
sj,2009,40,32
sj,2009,41,63
sj,2009,42,40
sj,2009,43,50
sj,2009,44,75
sj,2009,45,187
sj,2009,46,96
sj,2009,47,91
sj,2009,48,36
sj,2009,49,47
sj,2009,50,37
sj,2009,51,29
sj,2009,52,15
sj,2010,53,26
sj,2010,1,34
sj,2010,2,25
sj,2010,3,40
sj,2010,4,37
sj,2010,5,19
sj,2010,6,11
sj,2010,7,19
sj,2010,8,15
sj,2010,9,25
sj,2010,10,18
sj,2010,11,21
sj,2010,12,14
sj,2010,13,15
sj,2010,14,4
sj,2010,15,12
sj,2010,16,17
sj,2010,17,8
sj,2010,18,15
sj,2010,19,7
sj,2010,20,5
sj,2010,21,15
sj,2010,22,15
sj,2010,23,21
sj,2010,24,19
sj,2010,25,18
sj,2010,26,21
sj,2010,27,35
sj,2010,28,45
sj,2010,29,23
sj,2010,30,40
sj,2010,31,64
sj,2010,32,96
sj,2010,33,57
sj,2010,34,178
sj,2010,35,165
sj,2010,36,66
sj,2010,37,42
sj,2010,38,44
sj,2010,39,32
sj,2010,40,26
sj,2010,41,64
sj,2010,42,46
sj,2010,43,47
sj,2010,44,75
sj,2010,45,46
sj,2010,46,27
sj,2010,47,58
sj,2010,48,24
sj,2010,49,24
sj,2010,50,26
sj,2010,51,33
sj,2011,52,27
sj,2011,1,71
sj,2011,2,16
sj,2011,3,46
sj,2011,4,25
sj,2011,5,27
sj,2011,6,17
sj,2011,7,11
sj,2011,8,17
sj,2011,9,13
sj,2011,10,16
sj,2011,11,6
sj,2011,12,5
sj,2011,13,12
sj,2011,14,16
sj,2011,15,4
sj,2011,16,5
sj,2011,17,17
sj,2011,18,11
sj,2011,19,7
sj,2011,20,20
sj,2011,21,12
sj,2011,22,20
sj,2011,23,15
sj,2011,24,32
sj,2011,25,24
sj,2011,26,19
sj,2011,27,37
sj,2011,28,50
sj,2011,29,16
sj,2011,30,49
sj,2011,31,28
sj,2011,32,98
sj,2011,33,48
sj,2011,34,146
sj,2011,35,83
sj,2011,36,59
sj,2011,37,49
sj,2011,38,35
sj,2011,39,55
sj,2011,40,13
sj,2011,41,33
sj,2011,42,29
sj,2011,43,75
sj,2011,44,53
sj,2011,45,24
sj,2011,46,110
sj,2011,47,32
sj,2011,48,52
sj,2011,49,20
sj,2011,50,54
sj,2011,51,41
sj,2012,52,27
sj,2012,1,16
sj,2012,2,55
sj,2012,3,26
sj,2012,4,37
sj,2012,5,30
sj,2012,6,14
sj,2012,7,15
sj,2012,8,14
sj,2012,9,23
sj,2012,10,10
sj,2012,11,16
sj,2012,12,12
sj,2012,13,13
sj,2012,14,17
sj,2012,15,4
sj,2012,16,5
sj,2012,17,7
sj,2012,18,9
sj,2012,19,10
sj,2012,20,5
sj,2012,21,25
sj,2012,22,11
sj,2012,23,20
sj,2012,24,10
sj,2012,25,17
sj,2012,26,18
sj,2012,27,8
sj,2012,28,10
sj,2012,29,17
sj,2012,30,43
sj,2012,31,15
sj,2012,32,72
sj,2012,33,80
sj,2012,34,20
sj,2012,35,36
sj,2012,36,21
sj,2012,37,86
sj,2012,38,76
sj,2012,39,27
sj,2012,40,59
sj,2012,41,46
sj,2012,42,42
sj,2012,43,39
sj,2012,44,54
sj,2012,45,38
sj,2012,46,153
sj,2012,47,189
sj,2012,48,43
sj,2012,49,93
sj,2012,50,39
sj,2012,51,21
sj,2013,1,21
sj,2013,2,25
sj,2013,3,40
sj,2013,4,42
sj,2013,5,29
sj,2013,6,21
sj,2013,7,15
sj,2013,8,26
sj,2013,9,27
sj,2013,10,11
sj,2013,11,5
sj,2013,12,3
sj,2013,13,14
sj,2013,14,10
sj,2013,15,7
sj,2013,16,9
sj,2013,17,21
