city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,5
sj,2008,20,9
sj,2008,21,9
sj,2008,22,10
sj,2008,23,11
sj,2008,24,10
sj,2008,25,10
sj,2008,26,13
sj,2008,27,13
sj,2008,28,12
sj,2008,29,14
sj,2008,30,15
sj,2008,31,17
sj,2008,32,54
sj,2008,33,29
sj,2008,34,26
sj,2008,35,33
sj,2008,36,119
sj,2008,37,40
sj,2008,38,35
sj,2008,39,41
sj,2008,40,38
sj,2008,41,33
sj,2008,42,50
sj,2008,43,35
sj,2008,44,34
sj,2008,45,34
sj,2008,46,33
sj,2008,47,34
sj,2008,48,34
sj,2008,49,24
sj,2008,50,20
sj,2008,51,27
sj,2008,52,23
sj,2009,1,48
sj,2009,2,22
sj,2009,3,21
sj,2009,4,22
sj,2009,5,25
sj,2009,6,17
sj,2009,7,17
sj,2009,8,17
sj,2009,9,16
sj,2009,10,11
sj,2009,11,10
sj,2009,12,7
sj,2009,13,6
sj,2009,14,6
sj,2009,15,5
sj,2009,16,5
sj,2009,17,9
sj,2009,18,9
sj,2009,19,5
sj,2009,20,5
sj,2009,21,5
sj,2009,22,11
sj,2009,23,10
sj,2009,24,10
sj,2009,25,12
sj,2009,26,14
sj,2009,27,13
sj,2009,28,13
sj,2009,29,15
sj,2009,30,21
sj,2009,31,17
sj,2009,32,23
sj,2009,33,25
sj,2009,34,26
sj,2009,35,32
sj,2009,36,81
sj,2009,37,35
sj,2009,38,48
sj,2009,39,85
sj,2009,40,36
sj,2009,41,38
sj,2009,42,39
sj,2009,43,38
sj,2009,44,72
sj,2009,45,48
sj,2009,46,33
sj,2009,47,61
sj,2009,48,54
sj,2009,49,32
sj,2009,50,30
sj,2009,51,29
sj,2009,52,41
sj,2010,53,43
sj,2010,1,38
sj,2010,2,29
sj,2010,3,46
sj,2010,4,39
sj,2010,5,20
sj,2010,6,18
sj,2010,7,19
sj,2010,8,27
sj,2010,9,47
sj,2010,10,20
sj,2010,11,10
sj,2010,12,10
sj,2010,13,9
sj,2010,14,9
sj,2010,15,5
sj,2010,16,9
sj,2010,17,11
sj,2010,18,10
sj,2010,19,5
sj,2010,20,10
sj,2010,21,11
sj,2010,22,43
sj,2010,23,30
