city,year,weekofyear,total_cases
iq,2010,26,4
iq,2010,27,2
iq,2010,28,6
iq,2010,29,2
iq,2010,30,2
iq,2010,31,2
iq,2010,32,2
iq,2010,33,2
iq,2010,34,2
iq,2010,35,2
iq,2010,36,2
iq,2010,37,2
iq,2010,38,2
iq,2010,39,2
iq,2010,40,2
iq,2010,41,2
iq,2010,42,6
iq,2010,43,6
iq,2010,44,6
iq,2010,45,6
iq,2010,46,6
iq,2010,47,6
iq,2010,48,6
iq,2010,49,5
iq,2010,50,6
iq,2010,51,1
iq,2011,52,3
iq,2011,1,10
iq,2011,2,9
iq,2011,3,8
iq,2011,4,5
iq,2011,5,5
iq,2011,6,12
iq,2011,7,13
iq,2011,8,10
iq,2011,9,9
iq,2011,10,7
iq,2011,11,7
iq,2011,12,7
iq,2011,13,6
iq,2011,14,6
iq,2011,15,6
iq,2011,16,6
iq,2011,17,5
iq,2011,18,5
iq,2011,19,2
iq,2011,20,2
iq,2011,21,3
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,2
iq,2011,26,2
iq,2011,27,2
iq,2011,28,2
iq,2011,29,2
iq,2011,30,2
iq,2011,31,2
iq,2011,32,2
iq,2011,33,2
iq,2011,34,2
iq,2011,35,2
iq,2011,36,2
iq,2011,37,2
iq,2011,38,2
iq,2011,39,3
iq,2011,40,2
iq,2011,41,6
iq,2011,42,5
iq,2011,43,6
iq,2011,44,5
iq,2011,45,6
iq,2011,46,6
iq,2011,47,6
iq,2011,48,6
iq,2011,49,6
iq,2011,50,6
iq,2011,51,6
iq,2012,52,6
iq,2012,1,10
iq,2012,2,11
iq,2012,3,7
iq,2012,4,6
iq,2012,5,12
iq,2012,6,12
iq,2012,7,7
iq,2012,8,4
iq,2012,9,4
iq,2012,10,7
iq,2012,11,3
iq,2012,12,3
iq,2012,13,6
iq,2012,14,3
iq,2012,15,6
iq,2012,16,6
iq,2012,17,6
iq,2012,18,6
iq,2012,19,2
iq,2012,20,6
iq,2012,21,2
iq,2012,22,2
iq,2012,23,2
iq,2012,24,2
iq,2012,25,2
iq,2012,26,2
iq,2012,27,2
iq,2012,28,2
iq,2012,29,2
iq,2012,30,2
iq,2012,31,2
iq,2012,32,2
iq,2012,33,2
iq,2012,34,2
iq,2012,35,2
iq,2012,36,2
iq,2012,37,2
iq,2012,38,1
iq,2012,39,2
iq,2012,40,2
iq,2012,41,6
iq,2012,42,3
iq,2012,43,6
iq,2012,44,6
iq,2012,45,6
iq,2012,46,6
iq,2012,47,5
iq,2012,48,6
iq,2012,49,6
iq,2012,50,6
iq,2012,51,5
iq,2013,1,9
iq,2013,2,7
iq,2013,3,6
iq,2013,4,11
iq,2013,5,8
iq,2013,6,12
iq,2013,7,13
iq,2013,8,11
iq,2013,9,9
iq,2013,10,7
iq,2013,11,7
iq,2013,12,7
iq,2013,13,6
iq,2013,14,6
iq,2013,15,6
iq,2013,16,6
iq,2013,17,6
iq,2013,18,2
iq,2013,19,5
iq,2013,20,6
iq,2013,21,3
iq,2013,22,2
iq,2013,23,3
iq,2013,24,2
iq,2013,25,2
iq,2013,26,2
