city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,5
sj,2008,20,9
sj,2008,21,9
sj,2008,22,10
sj,2008,23,11
sj,2008,24,10
sj,2008,25,10
sj,2008,26,13
sj,2008,27,13
sj,2008,28,12
sj,2008,29,14
sj,2008,30,15
sj,2008,31,17
sj,2008,32,54
sj,2008,33,29
sj,2008,34,26
sj,2008,35,33
sj,2008,36,119
sj,2008,37,40
sj,2008,38,35
sj,2008,39,41
sj,2008,40,38
sj,2008,41,33
sj,2008,42,50
sj,2008,43,35
sj,2008,44,34
sj,2008,45,34
sj,2008,46,33
sj,2008,47,34
sj,2008,48,34
sj,2008,49,24
sj,2008,50,20
sj,2008,51,27
sj,2008,52,23
sj,2009,1,48
sj,2009,2,22
sj,2009,3,21
sj,2009,4,22
sj,2009,5,25
sj,2009,6,17
sj,2009,7,17
sj,2009,8,17
sj,2009,9,16
sj,2009,10,11
sj,2009,11,10
sj,2009,12,7
sj,2009,13,6
sj,2009,14,6
sj,2009,15,5
sj,2009,16,5
sj,2009,17,9
sj,2009,18,9
sj,2009,19,5
sj,2009,20,5
sj,2009,21,5
sj,2009,22,11
sj,2009,23,10
sj,2009,24,10
sj,2009,25,12
sj,2009,26,14
sj,2009,27,13
sj,2009,28,13
sj,2009,29,15
sj,2009,30,21
sj,2009,31,17
sj,2009,32,23
sj,2009,33,25
sj,2009,34,26
sj,2009,35,32
sj,2009,36,81
sj,2009,37,35
sj,2009,38,48
sj,2009,39,85
sj,2009,40,36
sj,2009,41,38
sj,2009,42,39
sj,2009,43,38
sj,2009,44,72
sj,2009,45,48
sj,2009,46,33
sj,2009,47,61
sj,2009,48,54
sj,2009,49,32
sj,2009,50,30
sj,2009,51,29
sj,2009,52,41
sj,2010,53,43
sj,2010,1,38
sj,2010,2,29
sj,2010,3,46
sj,2010,4,39
sj,2010,5,20
sj,2010,6,18
sj,2010,7,19
sj,2010,8,27
sj,2010,9,47
sj,2010,10,20
sj,2010,11,10
sj,2010,12,10
sj,2010,13,9
sj,2010,14,9
sj,2010,15,5
sj,2010,16,9
sj,2010,17,11
sj,2010,18,10
sj,2010,19,5
sj,2010,20,10
sj,2010,21,11
sj,2010,22,43
sj,2010,23,30
sj,2010,24,39
sj,2010,25,61
sj,2010,26,48
sj,2010,27,58
sj,2010,28,43
sj,2010,29,54
sj,2010,30,73
sj,2010,31,82
sj,2010,32,109
sj,2010,33,51
sj,2010,34,124
sj,2010,35,101
sj,2010,36,169
sj,2010,37,70
sj,2010,38,35
sj,2010,39,36
sj,2010,40,38
sj,2010,41,84
sj,2010,42,39
sj,2010,43,59
sj,2010,44,45
sj,2010,45,39
sj,2010,46,33
sj,2010,47,29
sj,2010,48,26
sj,2010,49,31
sj,2010,50,32
sj,2010,51,27
sj,2011,52,19
sj,2011,1,19
sj,2011,2,28
sj,2011,3,25
sj,2011,4,21
sj,2011,5,20
sj,2011,6,17
sj,2011,7,16
sj,2011,8,16
sj,2011,9,16
sj,2011,10,12
sj,2011,11,8
sj,2011,12,6
sj,2011,13,9
sj,2011,14,9
sj,2011,15,5
sj,2011,16,5
sj,2011,17,5
sj,2011,18,5
sj,2011,19,5
sj,2011,20,9
sj,2011,21,8
sj,2011,22,10
sj,2011,23,9
sj,2011,24,33
sj,2011,25,34
sj,2011,26,27
sj,2011,27,48
sj,2011,28,65
sj,2011,29,14
sj,2011,30,58
sj,2011,31,42
sj,2011,32,156
sj,2011,33,34
sj,2011,34,193
sj,2011,35,42
sj,2011,36,33
sj,2011,37,36
sj,2011,38,36
sj,2011,39,38
sj,2011,40,37
sj,2011,41,42
sj,2011,42,50
sj,2011,43,35
sj,2011,44,35
sj,2011,45,51
sj,2011,46,34
sj,2011,47,33
sj,2011,48,35
sj,2011,49,22
sj,2011,50,27
sj,2011,51,23
sj,2012,52,22
sj,2012,1,21
sj,2012,2,20
sj,2012,3,21
sj,2012,4,18
sj,2012,5,18
sj,2012,6,16
sj,2012,7,17
sj,2012,8,15
sj,2012,9,16
sj,2012,10,11
sj,2012,11,7
sj,2012,12,6
sj,2012,13,6
sj,2012,14,9
sj,2012,15,9
sj,2012,16,9
sj,2012,17,9
sj,2012,18,9
sj,2012,19,5
sj,2012,20,11
sj,2012,21,12
sj,2012,22,9
sj,2012,23,11
sj,2012,24,12
sj,2012,25,11
sj,2012,26,12
sj,2012,27,13
sj,2012,28,13
sj,2012,29,19
sj,2012,30,41
sj,2012,31,16
sj,2012,32,37
sj,2012,33,47
sj,2012,34,29
sj,2012,35,29
sj,2012,36,40
sj,2012,37,51
sj,2012,38,51
sj,2012,39,37
sj,2012,40,37
sj,2012,41,43
sj,2012,42,44
sj,2012,43,39
sj,2012,44,39
sj,2012,45,51
sj,2012,46,58
sj,2012,47,35
sj,2012,48,35
sj,2012,49,33
sj,2012,50,42
sj,2012,51,27
sj,2013,1,26
sj,2013,2,20
sj,2013,3,22
sj,2013,4,21
sj,2013,5,20
sj,2013,6,18
sj,2013,7,17
sj,2013,8,18
sj,2013,9,16
sj,2013,10,16
sj,2013,11,7
sj,2013,12,6
sj,2013,13,9
sj,2013,14,9
sj,2013,15,9
sj,2013,16,9
sj,2013,17,8
