city,year,weekofyear,total_cases
iq,2010,26,1
iq,2010,27,5
iq,2010,28,0
iq,2010,29,4
iq,2010,30,0
iq,2010,31,3
iq,2010,32,3
iq,2010,33,2
iq,2010,34,0
iq,2010,35,0
iq,2010,36,5
iq,2010,37,3
iq,2010,38,6
iq,2010,39,6
iq,2010,40,17
iq,2010,41,14
iq,2010,42,3
iq,2010,43,14
iq,2010,44,7
iq,2010,45,8
iq,2010,46,26
iq,2010,47,7
iq,2010,48,7
iq,2010,49,14
iq,2010,50,36
iq,2010,51,10
iq,2011,52,3
iq,2011,1,18
iq,2011,2,9
iq,2011,3,9
iq,2011,4,6
iq,2011,5,20
iq,2011,6,8
iq,2011,7,17
iq,2011,8,12
iq,2011,9,12
iq,2011,10,2
iq,2011,11,6
iq,2011,12,6
iq,2011,13,5
iq,2011,14,5
iq,2011,15,4
iq,2011,16,7
iq,2011,17,5
iq,2011,18,4
iq,2011,19,4
iq,2011,20,5
iq,2011,21,3
iq,2011,22,3
iq,2011,23,1
iq,2011,24,2
iq,2011,25,3
iq,2011,26,2
iq,2011,27,5
iq,2011,28,2
iq,2011,29,3
iq,2011,30,4
iq,2011,31,3
iq,2011,32,4
iq,2011,33,5
iq,2011,34,2
iq,2011,35,1
iq,2011,36,4
iq,2011,37,6
iq,2011,38,8
iq,2011,39,3
iq,2011,40,3
iq,2011,41,3
iq,2011,42,10
iq,2011,43,17
iq,2011,44,8
iq,2011,45,12
iq,2011,46,15
iq,2011,47,5
iq,2011,48,5
iq,2011,49,18
iq,2011,50,50
iq,2011,51,26
iq,2012,52,7
iq,2012,1,5
iq,2012,2,13
iq,2012,3,8
iq,2012,4,20
iq,2012,5,30
iq,2012,6,20
iq,2012,7,14
iq,2012,8,13
iq,2012,9,11
iq,2012,10,2
iq,2012,11,1
iq,2012,12,2
iq,2012,13,4
iq,2012,14,6
iq,2012,15,6
iq,2012,16,8
iq,2012,17,3
iq,2012,18,6
iq,2012,19,2
iq,2012,20,4
iq,2012,21,2
iq,2012,22,4
iq,2012,23,2
iq,2012,24,1
iq,2012,25,4
iq,2012,26,1
iq,2012,27,4
iq,2012,28,1
iq,2012,29,2
iq,2012,30,2
iq,2012,31,3
iq,2012,32,1
iq,2012,33,3
iq,2012,34,3
iq,2012,35,3
iq,2012,36,4
iq,2012,37,1
iq,2012,38,0
iq,2012,39,12
iq,2012,40,13
iq,2012,41,6
iq,2012,42,3
iq,2012,43,11
iq,2012,44,18
iq,2012,45,13
iq,2012,46,13
iq,2012,47,8
iq,2012,48,10
iq,2012,49,42
iq,2012,50,10
iq,2012,51,5
iq,2013,1,7
iq,2013,2,5
iq,2013,3,9
iq,2013,4,13
iq,2013,5,15
iq,2013,6,20
iq,2013,7,17
iq,2013,8,12
iq,2013,9,13
iq,2013,10,3
iq,2013,11,8
iq,2013,12,8
iq,2013,13,10
iq,2013,14,9
iq,2013,15,7
iq,2013,16,8
iq,2013,17,2
iq,2013,18,3
iq,2013,19,6
iq,2013,20,4
iq,2013,21,3
iq,2013,22,3
iq,2013,23,3
iq,2013,24,4
iq,2013,25,1
iq,2013,26,3
