city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,7
sj,2008,20,11
sj,2008,21,12
sj,2008,22,12
sj,2008,23,15
sj,2008,24,12
sj,2008,25,17
sj,2008,26,19
sj,2008,27,17
sj,2008,28,15
sj,2008,29,22
sj,2008,30,27
sj,2008,31,22
sj,2008,32,99
sj,2008,33,47
sj,2008,34,32
sj,2008,35,55
sj,2008,36,64
sj,2008,37,46
sj,2008,38,46
sj,2008,39,73
sj,2008,40,55
sj,2008,41,49
sj,2008,42,54
sj,2008,43,69
sj,2008,44,73
sj,2008,45,56
sj,2008,46,48
sj,2008,47,46
sj,2008,48,77
sj,2008,49,29
sj,2008,50,16
sj,2008,51,34
sj,2008,52,29
sj,2009,1,42
sj,2009,2,26
sj,2009,3,31
sj,2009,4,33
sj,2009,5,32
sj,2009,6,14
sj,2009,7,18
sj,2009,8,21
sj,2009,9,18
sj,2009,10,15
sj,2009,11,13
sj,2009,12,8
sj,2009,13,7
sj,2009,14,8
sj,2009,15,8
sj,2009,16,9
sj,2009,17,10
sj,2009,18,9
sj,2009,19,8
sj,2009,20,8
sj,2009,21,6
sj,2009,22,15
sj,2009,23,14
sj,2009,24,15
sj,2009,25,20
sj,2009,26,21
sj,2009,27,17
sj,2009,28,13
sj,2009,29,28
sj,2009,30,31
sj,2009,31,29
sj,2009,32,25
sj,2009,33,36
sj,2009,34,20
sj,2009,35,70
sj,2009,36,74
sj,2009,37,47
sj,2009,38,55
sj,2009,39,64
sj,2009,40,40
sj,2009,41,53
sj,2009,42,47
sj,2009,43,49
sj,2009,44,70
sj,2009,45,110
sj,2009,46,47
sj,2009,47,71
sj,2009,48,68
sj,2009,49,63
sj,2009,50,45
sj,2009,51,31
sj,2009,52,45
sj,2010,53,38
sj,2010,1,37
sj,2010,2,35
sj,2010,3,32
sj,2010,4,32
sj,2010,5,20
sj,2010,6,21
sj,2010,7,22
sj,2010,8,24
sj,2010,9,23
sj,2010,10,20
sj,2010,11,15
sj,2010,12,13
sj,2010,13,15
sj,2010,14,10
sj,2010,15,9
sj,2010,16,11
sj,2010,17,10
sj,2010,18,12
sj,2010,19,9
sj,2010,20,10
sj,2010,21,14
sj,2010,22,18
sj,2010,23,16
sj,2010,24,20
sj,2010,25,24
sj,2010,26,29
sj,2010,27,32
sj,2010,28,30
sj,2010,29,36
sj,2010,30,43
sj,2010,31,71
sj,2010,32,51
sj,2010,33,51
sj,2010,34,61
sj,2010,35,53
sj,2010,36,69
sj,2010,37,43
sj,2010,38,41
sj,2010,39,54
sj,2010,40,47
sj,2010,41,51
sj,2010,42,49
sj,2010,43,84
sj,2010,44,111
sj,2010,45,81
sj,2010,46,41
sj,2010,47,42
sj,2010,48,33
sj,2010,49,29
sj,2010,50,49
sj,2010,51,34
sj,2011,52,26
sj,2011,1,23
sj,2011,2,35
sj,2011,3,37
sj,2011,4,32
sj,2011,5,21
sj,2011,6,16
sj,2011,7,14
sj,2011,8,16
sj,2011,9,17
sj,2011,10,13
sj,2011,11,11
sj,2011,12,9
sj,2011,13,18
sj,2011,14,12
sj,2011,15,7
sj,2011,16,7
sj,2011,17,8
sj,2011,18,9
sj,2011,19,7
sj,2011,20,11
sj,2011,21,10
sj,2011,22,15
sj,2011,23,15
sj,2011,24,17
sj,2011,25,22
sj,2011,26,20
sj,2011,27,34
sj,2011,28,26
sj,2011,29,28
sj,2011,30,38
sj,2011,31,52
sj,2011,32,71
sj,2011,33,63
sj,2011,34,108
sj,2011,35,60
sj,2011,36,55
sj,2011,37,45
sj,2011,38,59
sj,2011,39,59
sj,2011,40,28
sj,2011,41,49
sj,2011,42,52
sj,2011,43,54
sj,2011,44,62
sj,2011,45,83
sj,2011,46,67
sj,2011,47,46
sj,2011,48,64
sj,2011,49,39
sj,2011,50,37
sj,2011,51,36
sj,2012,52,29
sj,2012,1,31
sj,2012,2,26
sj,2012,3,28
sj,2012,4,21
sj,2012,5,21
sj,2012,6,14
sj,2012,7,19
sj,2012,8,14
sj,2012,9,18
sj,2012,10,18
sj,2012,11,12
sj,2012,12,11
sj,2012,13,11
sj,2012,14,13
sj,2012,15,7
sj,2012,16,9
sj,2012,17,10
sj,2012,18,12
sj,2012,19,6
sj,2012,20,10
sj,2012,21,8
sj,2012,22,9
sj,2012,23,12
sj,2012,24,14
sj,2012,25,14
sj,2012,26,15
sj,2012,27,18
sj,2012,28,27
sj,2012,29,30
sj,2012,30,35
sj,2012,31,34
sj,2012,32,51
sj,2012,33,52
sj,2012,34,51
sj,2012,35,33
sj,2012,36,39
sj,2012,37,69
sj,2012,38,65
sj,2012,39,44
sj,2012,40,49
sj,2012,41,49
sj,2012,42,50
sj,2012,43,50
sj,2012,44,58
sj,2012,45,69
sj,2012,46,205
sj,2012,47,50
sj,2012,48,59
sj,2012,49,38
sj,2012,50,56
sj,2012,51,35
sj,2013,1,34
sj,2013,2,25
sj,2013,3,35
sj,2013,4,27
sj,2013,5,23
sj,2013,6,17
sj,2013,7,18
sj,2013,8,20
sj,2013,9,18
sj,2013,10,18
sj,2013,11,9
sj,2013,12,8
sj,2013,13,11
sj,2013,14,10
sj,2013,15,7
sj,2013,16,11
sj,2013,17,9
